day,price,,,
10/8/19,12.20982,,,
10/8/19,14.49372,,,
10/8/19,18.09784,,,
10/8/19,20.97174,,,
10/8/19,23.17321,,,
10/8/19,25.45964,,,
10/8/19,26.4741,,,
10/8/19,34.36824,,,
10/8/19,42.5425,,,
10/8/19,38.37867,,,
10/8/19,31.67619,,,
10/8/19,28.82441,,,
10/8/19,26.29405,,,
11/8/19,26.54082,,,
11/8/19,26.55545,,,
11/8/19,25.18083,,,
11/8/19,24.21535,,,
11/8/19,24.26401,,,
11/8/19,25.02306,,,
11/8/19,24.37482,,,
11/8/19,18.72863,,,
11/8/19,10.59934628,,,
11/8/19,9.548767126,,,
11/8/19,11.1957192,,,
11/8/19,12.31512,,,
11/8/19,15.12887,,,
11/8/19,19.68525,,,
11/8/19,22.35614,,,
11/8/19,23.44246,,,
11/8/19,25.91084,,,
11/8/19,28.51995,,,
11/8/19,35.63883,,,
11/8/19,44.22588,,,
11/8/19,40.13939,,,
11/8/19,31.95967,,,
11/8/19,29.32428,,,
11/8/19,27.61691,,,
12/8/19,25.65971,,,
12/8/19,25.47361,,,
12/8/19,25.16052,,,
12/8/19,24.46211,,,
12/8/19,25.4972,,,
12/8/19,27.54989,,,
12/8/19,31.07168,,,
12/8/19,25.90482,,,
12/8/19,19.81386,,,
12/8/19,18.7494,,,
12/8/19,20.40543,,,
12/8/19,23.02612,,,
12/8/19,25.16906,,,
12/8/19,26.92664,,,
12/8/19,28.49144,,,
12/8/19,32.0484,,,
12/8/19,34.87317,,,
12/8/19,38.10257,,,
12/8/19,48.19893,,,
12/8/19,60.5994,,,
12/8/19,44.35229,,,
12/8/19,37.2382,,,
12/8/19,31.69216,,,
12/8/19,28.84106,,,
13/8/19,28.00512,,,
13/8/19,26.9393,,,
13/8/19,27.17091,,,
13/8/19,27.11503,,,
13/8/19,27.53499,,,
13/8/19,29.92242,,,
13/8/19,33.15231,,,
13/8/19,27.44528,,,
13/8/19,21.72562,,,
13/8/19,20.76845,,,
13/8/19,22.78985,,,
13/8/19,26.25869,,,
13/8/19,28.41476,,,
13/8/19,29.63982,,,
13/8/19,33.11782,,,
13/8/19,35.86159,,,
13/8/19,40.00246,,,
13/8/19,43.08445,,,
13/8/19,57.30699,,,
13/8/19,70.72302,,,
13/8/19,49.08142,,,
13/8/19,40.09492,,,
13/8/19,35.30012,,,
13/8/19,32.43501,,,
14/8/19,45.43823,,,
14/8/19,30.30002,,,
14/8/19,28.10804,,,
14/8/19,27.245,,,
14/8/19,26.8452,,,
14/8/19,27.12457,,,
14/8/19,30.19682,,,
14/8/19,31.6874,,,
14/8/19,28.23622,,,
14/8/19,21.63228,,,
14/8/19,21.99618,,,
14/8/19,25.75839,,,
14/8/19,27.82132,,,
14/8/19,30.78626,,,
14/8/19,35.91469,,,
14/8/19,39.98107,,,
14/8/19,44.18618,,,
14/8/19,49.98338,,,
14/8/19,60.27841,,,
14/8/19,63.96794382,,,
14/8/19,72.91093155,,,
14/8/19,62.84016,,,
14/8/19,38.09953,,,
14/8/19,34.84096,,,
15/8/19,30.32319,,,
15/8/19,28.40405,,,
15/8/19,27.4142,,,
15/8/19,26.35985,,,
15/8/19,26.59419,,,
15/8/19,28.80444,,,
15/8/19,32.03913,,,
15/8/19,28.67691,,,
15/8/19,21.9757,,,
15/8/19,22.84548,,,
15/8/19,25.90168,,,
15/8/19,29.28347,,,
15/8/19,35.19292,,,
15/8/19,37.18662,,,
15/8/19,40.03059,,,
15/8/19,42.96526,,,
15/8/19,52.25501,,,
15/8/19,64.49909,,,
15/8/19,71.7017105,,,
15/8/19,70.25805445,,,
15/8/19,63.15238,,,
15/8/19,43.07191,,,
15/8/19,37.23571,,,
15/8/19,32.37825,,,
16/8/19,28.06305,,,
16/8/19,26.90814,,,
16/8/19,25.72528,,,
16/8/19,24.7674,,,
16/8/19,25.60963,,,
16/8/19,27.81025,,,
16/8/19,30.15744,,,
16/8/19,25.98141,,,
16/8/19,19.60491,,,
16/8/19,16.49962,,,
16/8/19,22.06388,,,
16/8/19,25.7115,,,
16/8/19,28.55798,,,
16/8/19,32.04301,,,
16/8/19,35.18182,,,
16/8/19,37.9402,,,
16/8/19,41.53606,,,
16/8/19,44.21999,,,
16/8/19,57.49517,,,
16/8/19,65.09664,,,
16/8/19,48.57148,,,
16/8/19,40.04032,,,
16/8/19,35.59335,,,
16/8/19,31.57365,,,
17/8/19,29.4678,,,
17/8/19,28.05508,,,
17/8/19,27.97869,,,
17/8/19,27.40935,,,
17/8/19,27.37356,,,
17/8/19,28.3054,,,
17/8/19,28.80697,,,
17/8/19,24.04221,,,
17/8/19,16.82474,,,
17/8/19,15.18624,,,
17/8/19,16.8384,,,
17/8/19,20.08362,,,
17/8/19,22.65387,,,
17/8/19,25.21449,,,
17/8/19,27.85302,,,
17/8/19,28.75356,,,
17/8/19,30.24318,,,
17/8/19,31.95347,,,
17/8/19,41.71186,,,
17/8/19,49.9449,,,
17/8/19,44.30598,,,
17/8/19,36.8617,,,
17/8/19,30.95433,,,
17/8/19,29.81894,,,
18/8/19,27.48081,,,
18/8/19,27.25926,,,
18/8/19,26.55525,,,
18/8/19,25.88842,,,
18/8/19,26.56532,,,
18/8/19,27.90448,,,
18/8/19,28.99374,,,
18/8/19,24.42515,,,
18/8/19,14.16022,,,
18/8/19,12.81503,,,
18/8/19,14.24573,,,
18/8/19,16.61332,,,
18/8/19,20.68242,,,
18/8/19,23.32774,,,
18/8/19,25.68186,,,
