Policy,Mean Energy Cost ($),Mean Deg Cost ($),Mean Total Cost ($),Cumulative Fade (%),Mean Deep Cycles,Estimated Battery Life (Years)
Uncontrolled Charging (UC),1.6480277876391618,0.5994198628280014,2.247447650467163,0.4149829819578471,0.16111111111111112,237.6727270139477
Baseline B0 (Uniform BC),1.1163994231101881,0.6597622832073355,1.7761617063175237,0.45675850375892457,0.17777777777777778,215.93497696182573
Proposed E2 (Physics-Informed),1.1217693878623722,0.45084633625096726,1.5726157241133396,0.312124386635285,0.11944444444444445,315.99625408811755
